service_id,date,exception_type
Toei.Asakusa/Weekday,20191220,1
Toei.Asakusa/SaturdayHoliday,20191221,1
Toei.Asakusa/Weekday,20191223,1
Toei.Asakusa/Weekday,20191224,1
Toei.Asakusa/Weekday,20191225,1
Toei.Asakusa/Weekday,20191226,1
Toei.Asakusa/Weekday,20191227,1
Toei.Asakusa/SaturdayHoliday,20191228,1
Toei.Asakusa/Weekday,20191230,1
Toei.Asakusa/Weekday,20191231,1
Toei.Asakusa/Weekday,20200101,1
Toei.Asakusa/Weekday,20200102,1
Toei.Asakusa/Weekday,20200103,1
Toei.Asakusa/SaturdayHoliday,20200104,1
Toei.Asakusa/Weekday,20200106,1
Toei.Asakusa/Weekday,20200107,1
Toei.Asakusa/Weekday,20200108,1
Toei.Asakusa/Weekday,20200109,1
Toei.Asakusa/Weekday,20200110,1
Toei.Asakusa/SaturdayHoliday,20200111,1
Toei.Asakusa/Weekday,20200113,1
Toei.Asakusa/Weekday,20200114,1
Toei.Asakusa/Weekday,20200115,1
Toei.Asakusa/Weekday,20200116,1
Toei.Asakusa/Weekday,20200117,1
Toei.Asakusa/SaturdayHoliday,20200118,1
Toei.Asakusa/Weekday,20200120,1
Toei.Asakusa/Weekday,20200121,1
Toei.Asakusa/Weekday,20200122,1
Toei.Asakusa/Weekday,20200123,1
Toei.Asakusa/Weekday,20200124,1
Toei.Asakusa/SaturdayHoliday,20200125,1
Toei.Asakusa/Weekday,20200127,1
Toei.Asakusa/Weekday,20200128,1
